Natuknica,Stranica,Tekst,Prilog,Vez
AMASIS,62,"<strong>AMASIS</strong> (grč. Ἄ&mu;&alpha;&sigma;&iota;&sigmaf;), grčki slikar vaza iz Atike (druga pol. &larr; VI sr.). Njegova je signatura uz oznaku &mu;&rsquo;έ&pi;&omicron;ί&epsilon;&sigma;&epsilon;&nu; (m&rsquo;epoiesen<em> načinio, proizveo me je</em>) nađena na 7 vaza, 3 amfore i 4 vrča za vino s crnim figurama, izvedenim vrlo precizno i fino. A. je predstavnik strogog arhajskog atičkog stila.",,1
AMATER,62,"<strong>AMATER</strong> (lat.; franc, amateur<em> ljubitelj</em>). Ova riječ označuje čovjeka, koji voli umjetnost, odnosno koii se u dokolici bavi umjetničkim radom, a nema stručnu spremu, niti mu je umjetnost profesija. A. je također naziv za nestručnog sakupljača umjetničkih djela. U XVII<em> st.</em> nazivali su ih<em> curieux</em> (ljubitelj umjetnosti).",,1
"AMATI, Carlo",62,"<strong>AMATI, Carlo,</strong> talijanski graditelj (Monza, 22. VIII. 1776 &mdash; Milano, 23. III. 1852). Učio kod L. Pollaka, G. Albertolia i G. Zanoie na Accademia di Brera u Milanu, gdje je 1817 postao profesor. God. 1806 radio zajedno sa G. Zanoiom na dovr&scaron;enju fasade katedrale u Milanu. U svojim djelima oslanja se na klasične uzore.<br /> DJELA: Crkva u Casate Nuovo, Brianza;<em> Cappella delle Grazie,</em> Monza; crkva 5.<em> Carlo Borromeo,</em> Milano (okrugla građevina po uzoru na Panteon u Rimu). &mdash; Knjiga<em> Antichit&agrave; di Milano,</em> 1804.",,1
"AMATO, Paolo",62,"<strong>AMATO, Paolo,</strong> talijanski graditelj (Ciminna na Siciliji, 24. I. 1634 &mdash; Palermo, nakon 1714). U Palermu gradio baroknu crkvu<em> Salvatore</em>, eliptičnog tlocrta (radovi započeli 1682), izveo portal crkve<em> Valverde, </em>fontanu<em> Garraffo,</em> dekorirao kapele sv. Lucije i Bogorodice. Radio nacrte za oltare, nadgrobne spomenike i za razne skulptorske ukrase. Napisao traktat:<em> Nuova pratica di prospettiva</em> (1714&mdash;33, dovr&scaron;en poslije njegove smrti), sa 35 bakroreza, od kojih je neke sam izradio.",,1
"AMAURY-DUVAL, Eugène-Emmanuel",62,"<strong>AMAURY-DUVAL, Eug&egrave;ne-Emmanuel</strong> (zapravo<strong> Pineu-Duval</strong>), francuski slikar (Montrouge, 16. IV. 1806 &mdash; Pariz, 29. IV. 1885). Učenik i sljedbenik J.-A.-D. Ingresa, portretist. U svome kasnijem razvoju prelazi na hist., sakralne, i dekorativne kompozicije, koje u svojoj korektnosti ne prema&scaron;uju prosječnost. Napisao dvije knjige, koje su značajan prilog za poznavanje Ingresove &scaron;kole,<em> Souvenirs de jeunesse</em> i<em> L&rsquo;Atelier d&rsquo;Ingres.</em>",,1
AMAZONKE,62,"<strong>AMAZONKE</strong> (grč. &rsquo;A&mu;&alpha;&zeta;ό&nu;&epsilon;&sigmaf; Amazones), po grč. mitu, pleme ratničkih žena, koje se s Kavkaza doselilo u Kapadokiju u Maloj Aziji. Predočuju se isprva odjevene kao grč. ratnici, a kasnije u skitskoj no&scaron;nji, u hlačama, uskoj haljini bez rukava i sa skitskom kapom. Naoružane su dvosjeklom sjekirom i &scaron;titom u obliku polumjeseca (amazonski &scaron;tit). Likovi amazonka, a naročito njihova legendarna kraljica Pentezileja, pojavljuje se na grč. vazama već od &larr; VI<em> st.</em> Oko &larr; 460 naslikao je Mikon u atenskoj<em> Stoa Poikile</em> bitku s amazonkama. U plastici su lik amazonke prikazivali Poliklet, Fidija i Kresilas; amazonomahija je čest motiv reljefa na frizovima. Taj se motiv održava u II i III<em> st.</em> na rim. sarkofazima, a kasnije se javlja kod P. P. Rubensa, A. Feuerbacha, F. Stucka i u klasicističkoj skulpturi.",,1
"AMBERGER, Christoph",62,"<strong>AMBERGER, Christoph,</strong> njemački slikar (oko 1500 &mdash; Augsburg, 1561 ili 1562). Formirao se pod utjecajem H. Burgkmaira. Njegove oltarske slike ukazuju na tal. maniru, koja postaje karakterističan faktor u razvoju njem. renesansnog slikarstva u XVI<em> st.</em> U Augsburgu radio slike na fasadama i portrete obilježene mekim kolorističkim tretmanom, koji podsjeća na Venecijance. Glavno mu je djelo trokrilna oltarska slika u augsbur&scaron;koj katedrali iz g. 1554.",,1
AMBITUS,63,<strong>AMBITUS</strong> v.<em> Deambulatorij</em>,,1
AMBLEM,63,"<strong>AMBLEM</strong> (franc,<em> embl&egrave;me</em>), u prvotnom značenju, reljefni ukras, na pr. na trbuhu vaze od kovine ili pečene gline. Amblemi s heraldičkim značenjem pojavljuju se od Srednjeg vijeka na &scaron;titovima, zastavama, upotrebnim i ukrasnim predmetima. A. je danas općenito oznaka za alegorijski ili simbolički atribut.",,1
AMBOISE,63,"<strong>AMBOISE,</strong> grad u departmanu Indre-et-Loire u Francuskoj, izgrađen oko rimskog castruma, &scaron;to su ga 882 razorili Normani. Dvor A. sagrađen je za Karla VIII, a pregrađivan za Luja XII i Franje I. Mje&scaron;avina je gotičkih i renesansnih elemenata, u kojoj pretežu posljednji. Kod pregradnja sudjeluju tal. majstori, koji su planirali park.",,1
AMBON,63,"<strong>AMBON </strong>(<strong>amvon;</strong> grč. <em>ἄ</em>&mu;&beta;&omega;&nu; ambon), povi&scaron;eno mjesto u kr&scaron;ćanskoj bazilici, na kojem se za vrijeme liturgiie čitala poslanica i evanđelje. A. je isprva smje&scaron;ten u glav. brodu, redovno u prostoru ispred sveti&scaron;ta. Počev&scaron;i od XI<em> st.</em> razvija se u propovjedaonicu, koja dobiva znatno vi&scaron;i smje&scaron;taj, uza zid ili stup u glav. brodu. U pravoslavnoj crkvi a. je zadržao prvotan oblik povi&scaron;ene govornice; nalazi se ispred ikonostasa, a služi za čitanje dijelova Sv. pisma.",,1
AMBRA,63,"<strong>AMBRA</strong> (arap.<em> anbar</em>), mirisna, sivosmeđa, lagana i masna tvar, poput voska. Pronalazi se na morskoj povr&scaron;ini, najče&scaron;će u Indijskom oceanu, a vjerojatno je produkt probave moluska; nalazi se u crijevu ulje&scaron;ure. Zbog mirisa služi za izradbu parfema. Osim sive ambre postoji i žuta ambra ili jantar, prozirna fosilna smola. Služi za izradbu male plasti;e i ukrasnih predmeta (v. <em>Jantar).</em> Pridjevom ambriran (franc,<em> ambr&eacute;</em>) označuje se u slikarstvu topal, zlaćan ton boje meda.",,1
AMBROGIO DA MILANO,63,"<strong>AMBROGIO DA MILANO </strong>(zvan i <strong>Ambrogino, Ambrogio di Antonio da Urbino, Ambrogio Barocci, Ambrogio d&rsquo; Antonio Baroccio</strong>), talijanski kipar (Milano, sredina XV<em> st. </em>&mdash; ?, poslije 1520). Spominje se kao &raquo;lapicida et sculptor&laquo;. Renesansni dekorater, koji je u Urbinu, Ferrari i Veneciji izveo kiparske radove u int&eacute;rieurima s alegorijskim, heraldičkim i arabesknim motivima, te nadgrobne spomenike na način toskanskih quattrocentista.",,1
"AMBROSI, Francesco",63,"<strong>AMBROSI, Francesco (Franco),</strong> talijanski drvoreza bar. Spominje se 1593&mdash;1607 u Urbinu, gdje je rezbario u drvu dekorativne dijelove oltara i crkvenog namje&scaron;taja, i izrađivao okvire za slike, vrata i dr., aplicirajući ukrasne elemente korintskog stila.",,1
AMBROSIANA,63,"<strong>AMBROSIANA, 1. Biblioteca A.,</strong> jedna od najznačajnijih hist. knjižnica, smje&scaron;tenu Pal. dell&rsquo;Ambrosiana u Milanu, koju su gradili F. Mangone i F. M. Ricnini u XVII <em>st.</em> za kardinala F. Borromea, koji je osnovao biblioteku 1602. Pala je pro irena 1829&mdash;36. Biblioteka ima oko 400.000 sv. &scaron;tampanih djela. Od 2500 inkunabula najvrednije su: Vergilijeva djela (Mleci 1470) i Boccaccio (Mleci 1471). Od oko 30.000 rukopisa (na hebr., sirijskom, arap., grč., lat., provansalskom, tal. i dr. suvremenim jezicima) ističu se: sirijske verzije<em> Biblije, Ilias picta</em> III&mdash;IV<em> st., </em>palimpsesti Plauta i Cicerona,<em> Divina commedia</em> iz 1353, Petrarkin <em>Vergilije</em> (s minijaturama Simona Martinia) i dr. Povezana je sa zbirkom slika<em> (Pinacoteca).</em><br /> <strong>2. Pinacoteca</strong> A. F. Borromeo je 1618 osnovao Akademiju lijepih umjetnosti i priključio joj umjetničku zbirku, koja se postepeno povećavala. Za napoleonskih ratova dio umjetnina odnesen je u Francusku (od toga je ne&scaron;to vraćeno). I Pinacoteca je smje&scaron;tena u Pal. dell&rsquo;Ambrosiana. Ima slike: A. Vivarinia, Bartolommea Veneta, C. Dolcia, B. Butinonea, A. Magnasca, M. Pretia, S. Botticellia, J. Bruegela, P. Brilla, A. Medulića <em>(Poklonstvo mudraca)</em> te djela Leonarda i njegova kruga (A. Solaria, A. de Predisa, G. A. Boltraffia, B. Luinia i F. Melzia); minijature J. Klovića-Clovia<em> (Obraćenje sv. Pavla);</em> grafička djela suvremenih majstora; crteže: D. Dossia, A. Pisanella, P. Pollaiuola, Rafaela, A. D&uuml;rera, H. Aldegrevera, Bramantina; kiparska djela: F. Baroccia, A. della Robbie, Mina da Fiesole, A. Canove, B. Thorwaldsena; fragmente zidnih slika iz XI<em> st.; </em>flamanske bjelokosti; portrete milanskih porodica. Najznačajniji je dio inventara<em> Codice Atlantico,</em> autograf Leonarda da Vincia. Povremeno priređuje specijalne tematske izložbe (crteži, grafika) iz svojih bogatih inventara.",,1
"AMBROZIĆ, Katarina",64,"<strong>AMBROZIĆ, Katarina,</strong> istoričar umetnosti (Mostar, 27. III. 1925&mdash;). Filozofski fakultet zavr&scaron;ila u Beogradu 1948, doktorirala u Ljubljani sa tezom<em> Nadežda Petrović i počeci moderne. </em>Od 1948 radi u Narodnom muzeju u Beogradu. Stalni likovni kritičar<em> Književnih novina</em> i jedan od likovnih kritičara Radio-Beograda. Napisala dva filmska scenarija:<em> Nadežda Petrović</em> (sa L. Trifunovićem) i<em> Risto Stijović,</em> oba realizovana 1958. Objavila velik broj napisa, kritika i prikaza, uglavnom o savremenoj umetnosti.<br /> BIBL.:<em> Poklonjenje mudraca u Narodnom muzeju,</em> Muzeji, 1952, 7;<em> Prilozi biografijama na&scaron;ih slikara,</em> Naučni zbornik Matice srpske, 1953 i 1954;<em> Dva srpska slikara prve polovine XJX v. u Modernoj galeriji u Zagrebu,</em> 1954; <em>Nadežda Petrović</em> (disertacija, u &scaron;tampi);<em> Prva jug. umetnička kolonija,</em> Zbornik Narodnog muzeja, 1958, 1<em> Srpska &scaron;tampa o slovenačkim umetnicima u prvoj četvrtini XX v.,</em> ZUZ, 1959;<em> Kubizam,</em> 1959.<strong>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; </strong>L. Trć.",,1
"AMBROZY, Václav Bernhard",64,"<strong>AMBROZY, V&aacute;clav Bernhard,</strong> če&scaron;ki slikar (Kutna Hora, 2. VII. 1723 &mdash; Prag, 30. IV. 1806). Portretist na dvoru Marije Terezije, posljednji predstavnik slikarskog ceha u Pragu, &scaron;to ga je osnovao Karlo IV, a ukinuo Josip II. Na način kasnih mletačkih manirista radi oltarske slike i freske u crkvama, dvorovima i na pročeljima kuća. Radovi mu se nalaze u Pragu, a pojedine stropne slike u pokrajini (dvor Me&scaron;ice).",,1
"AMENDOLA, Giovanni Battista",64,"<strong>AMENDOLA, Giovanni Battista,</strong> talijanski kipar (Episcopio, pokrajina Salerno, 18. I. 1848 &mdash; Napulj, 17. XII. 1887). Učio u Napulju kod A. Busciolania, zatim na akademiji. Putuje po Francuskoj i Engleskoj; 1884&mdash;85 zaposlen u &Scaron;kotskoj. Radio velike statue (spomenik lorda Twinddalea, Addington), biste (princ Amadeo, u peristilu kazali&scaron;ta u Salernu; slikar Alma Tadema) i male skulpture<em> (Miss Lucy; Djevojčica)</em>. Izlagao u Napulju, Parizu i Londonu. Njegove velike statue zaostaju za radovima u sitnoj plastici, koji imaju veristička obilježja s romantičnom primjesom.",,1
AMERICAN ABSTRACT ARTISTS,64,"<strong>AMERICAN ABSTRACT ARTISTS</strong> (skraćeno<strong> AAA</strong>), grupacija amer. apstraktnih slikara osnovana 1936 u New Yorku. Prvu izložbu priredila je 1937 u New Yorku; otada priređuje redovite izložbe svake godine u vlastitom salonu. Osnivači i prvi članovi bili su I. Bolotowski, J. Albers, F. L&eacute;ger, L. Moholy-Nagy, A. E. Gallatin, P. Mondrian, K. Knaths i G. Morris, koji je do 1951 vr&scaron;io funkciju predsjednika. Program grupe formuliran je u zajedničkim izjavama, &scaron;tampanim u katalozima izložba 1938 i 1939 G. Morris pi&scaron;e: &raquo;Apstraktni umjetnici treba da razgolite umjetnost do same srži, gdje se napajaju, i odakle sve kulture crpu svoj život.&laquo; Grupa<em> AAA</em> objavljuje redovno godi&scaron;nje izvje&scaron;taje o izložbama, a posebne spomen-knjige izdaju 1938 u povodu dvogodi&scaron;njice i 1946<em> (The World of Abstract Art)</em> u povodu desetgodi&scaron;njice osnivanja.",,1
AMERIGHI,64,"<strong>AMERIGHI (Amerigi, Merighi, Morigi)</strong> v.<em> Caravaggio, Michelangelo</em>",,1
AMERIKA,64,,,1
"AMERLING, Friedrich",73,"<strong>AMERLING, Friedrich,</strong> austrijski slikar (Beč, 14. IV. 1803 &mdash; 15. I. 1887). Učenik bečke akademije; u Londonu proučava portrete T. Lawrencea, a u Parizu H. Verneta. Od 1831 u Beču portretist dvorskih krugova i aristokracije, ličnost oficijelno cijenjena zbog svojih dopadljivih i idealiziranih portretnih aranžmana (oko 1000 platna).",,1
AMETIST,73,"<strong>AMETIST</strong> (grč. ἀ&mu;έ&thetasym;&upsilon;&sigma;&tau;&omicron;&sigmaf; amethystos), ljubičasti kremen, poludragi kamen; boje različitog intenziteta, od posve svijetle do najtamnijih tonova, katkad prelazi i u ružičastu. Upotrebljava se kao nakit od najstarijih vremena.",,1
AMFIPROSTIL,73,"<strong>AMFIPROSTIL</strong> (grč. ἀ&mu;&phi;&iota;&pi;&rho;ό&sigma;&tau;&upsilon;&lambda;&omicron;&sigmaf;; amfiprostylos), jedan od tipova ant. grč. hrama, koji ima otvorena predvorja sa stupovima na obim užim stranama, t. j. na pročelju i na začelju.",,1
AMFITEATAR,74,"<strong>AMFITEATAR</strong> (grč. Ά&mu;&phi;&iota;&thetasym;έ&alpha;&tau;&rho;&omicron;&nu; amfitheatron), u rim. doba, kružna ili eliptična građevina, u kojoj su se priređivale borbe gladijatora, borbe s divljim zvijerima i pomor, bitke (naumahije). Prvotno se ovakve borbe održavaju pred improviziranim drvenim gledali&scaron;tima, a kasnije se podižu građevine od kamena, koje dosežu monumentalne razmjere. Oko borili&scaron;ta (v.<em> Arena) </em>uzdizalo se amfiteatralno gledali&scaron;te s paralelnim stepenasto raspoređenim redovima sjedala, konstruirano na način ant. helenskih kazal. građevina. No dok je helenski &thetasym;έ&alpha;&tau;&rho;&omicron;&nu; (theatron) segment ili polukrug, smje&scaron;ten oko orkestre, rim. a. potpuno je zatvorenog, kružnog ili eliptičnog oblika. Najstariji kameni amfiteatri na italskom tlu (Campagna, Pompeji) podignuti su u &larr; I<em> st</em>., a prvi a. u Rimu 29. Kasnije su ih gradili carevi August, Kaligula i Neron; Vespazijan je započeo podizanje najvećega od njih, t. zv. Koloseja, &scaron;to ga je 80 posvetio Tit, a dovr&scaron;io vjerojatno Domicijan. Ima eliptičan oblik, konstrukcija je izvedena u sistemu polukružnih lukova, a u njemu se moglo smjestiti 80.000&mdash;100.000 gledalaca. Velik broj relativno očuvanih amfiteatara postoji ne samo u Italiji (Capua, Sirakuza, Catania, Verona, Padova), već i na čitavom teritoriju rim. imperija (Arles, Nimes, sjev. Afrika, Prednja Azija). U na&scaron;im krajevima postoji dobro sačuvan a. u Puli, te ostaci u Solinu, Cavtatu i Čitluku<em> (Aequum). &mdash; </em>Amfiteatrima se danas nazivaju i stepenasta polukružna i povi&scaron;ena gledali&scaron;ta u kazali&scaron;tima, predavaonice u sveučili&scaron;tima, klinikama i sl.&nbsp; S. Bić.",,1
AMFITRITA,74,"<strong>AMFITRITA</strong> (grč. &rsquo;A&mu;&phi;&iota;&tau;&rho;ί&tau;&eta; mfitrite), u helenskom mitu, božanstvo mora, kći Nerejeva, žena Posidona i majka tritona. U likovnim umjetnostima prikazuje se redovno zajedno s Posidonom, u njegovim kolima, ili kako ja&scaron;e na morskom konju, tritonu ili delfinu. Primjeri takvih figuralnih prizora česti su na grč. vazama, a ima ih u rim. mozaiku (Ostia) i plastici, (bareljef are G. D. Enobarba), te u baroknom i klasicističkom slikarstvu.",,1
AMFORA,74,"<strong>AMFORA</strong> (lat. amphora prema grč. ἀ&mu;&phi;&omicron;&rho;&epsilon;ύ&sigmaf; amforeus), ant. glinena posuda trbu&scaron;astog oblika sa dva dr&scaron;ka, s podužim uskim vratom i okruglim ili &scaron;iljastim dnom. Često nije imala podnožak, nego se ukopavala u pijesak ili stavljala u metalni stalak. Kod Grka i Rimljana služi za čuvanje i transport vina, ulja, žita i dr. Već od arhajskog doba i pojave prvih ornamenata u geometrijskom stilu (&larr; X<em> st.</em>) amfore su se ukra&scaron;ivale različitim ornamentalnim motivima i slikama, kao i ostali proizvodi ant. keramike (vaze). Osobita su vrsta panatenejske nagradne amfore, koje su se &mdash; napunjene najfinijim maslinovim uljem &mdash; davale kao nagrada pobjednicima u natjecanju prigodom svečanosti u čast božice Atene. U rim. doba imaju oblik amfora urne, u kojima se čuvao pepeo spaljenih pokojnika.",,1
AMICO DI SANDRO,74,"<strong>AMICO Dl SANDRO,</strong> fiktivno ime (B. Berenson) za nepoznatog slikara tal. quattrocenta, autora niza slika, koje su ranije pripisivane S. Botticelliu ili Filippinu Lippiu. Prema Berensonu ima A. d. S. stanovitih afiniteta s obojicom, iako mu crtež nije toliko određen kao Botticelliev, a boje su mu svjetlije i življe. U novije se vrijeme djela, koja Berenson (<em>Pictures of the Italian Renaissance,</em> London 1932, i<em> Amico di Sandro,</em> Gazette des Beaux-Arts, 1899) pripisuje fiktivnom autoru, smatraju mladenačkim radovima Filippina Lippia.<br /> DJELA:<em> Madonna s djetetom</em> (Napuli, Pinacoteca);<em> Lukrecijina smrt</em> i t. zv. <em>La bella Simonetta</em> (obje Firenca, Pitti);<em> Tobija i tri anđela</em> (Torino, Pinacoteca).",,1
"AMICONI, Jacopo",74,"<strong>AMICONI (Amigoni), Jacopo,</strong> talijanski slikar i bakrorezac (Venecija, 1675 &mdash; Madrid, 1752). Eklektik, pod utjecajem kasnobarokne manire F. Solimene i S. Riccia. U službi bavarskih izbornih knezova izvodi dekorativne radove u dvorcima (Nymphenburg) i crkvama (M&uuml;nchen i Benediktbeuren). Od 1729 radi u Londonu dekoracije i pomodne portrete vladara i aristokracije. Nakon boravka u Parizu i Veneciji odlazi 1746 na poziv Ferdinanda VI u &Scaron;panjolsku, gdje sudjeluje kod dekoriranja kralj, dvorova Aranjuez i Buen Retiro. Radi bakroreze po vlastitim osnovama.",,1
AMICTUS,74,<strong>AMICTUS</strong> v.<em> Amikt</em>,,1
AMIDA,74,"<strong>AMIDA</strong> (sanskr.<strong> Amit&acirc;bha Buddha</strong>), jedna od emanacija Bude, glavno božanstvo jap. budističke sekte Jo-do-shin-shu. U jap. umjetnosti postoje plastični prikazi Amide od bronce i pozlaćenog drva, te slikani na svili.",,1
AMIDA,74,"<strong>AMIDA.</strong> Uz gradove Edesu i Nisibis sredi&scaron;te razvoja starokr&scaron;ćanske umjetnosti na području tromeđe Mezopotamije, Armenije i Sirije.",,1
AMIENS,74,"<strong>AMIENS,</strong> glavni grad departmana Somme u Francuskoj. Njegov je glavni građevni spomenik katedrala, koja je postojala već 1100, a koja je nakon dva požara nadomje&scaron;tena novom. Gradnja je započela 1220 i trajala do 1288, a njome su upravljali Robert de Luzarches, Thomas de Cormont i njegov sin Regnauld; 1849 &mdash;1874 restaurirao ju je Viollet-le-Duc. Ova katedrala, sa bogato ra&scaron;članjenom konstrukcijom i fasadom i dva nejednaka tornja, jedno je od najznačajnijih djela franc, gotike, koje je utjecalo na razvoj tog stila u Francuskoj i u susjednim zemljama (K&ouml;ln).",,1
"AMIET, Cuno",75,"<strong>AMIET, Cuno,</strong> &scaron;vicarski slikar i grafičar (Solothurn, 28. III. 1868&mdash;). Studirao u M&uuml;nchenu i Parizu. Za njegov razvoj bio je od važnosti boravak u umjetničkoj koloniji u Pont-Avenu u Bretanji (1892&mdash;93), gdje upoznaje i usvaja metode franc, postimpresionista. Kasnije utječe na njega F. Hodler. Pejzažist, portretist i slikar monumentalnih kompozicija u javnim zgradama (Z&uuml;rich, Bern, Langenthal). Kolorist s nijansiranom i blje&scaron;tavom paletom.<br /> LIT.:<em> G. Jedlicka,</em> Cuno Amiet, Bern 1948.",,1
AMIKT,75,"<strong>AMIKT</strong> (lat.<em> amictus</em>), dio liturgijskog svećeničkog ruha, zvan i<em> humerale</em> Rubac od bijeloga lanenog tkanja, &scaron;to ga svećenik stavlja preko ramena i prsa, prije no &scaron;to obuče albu.",,1
"AMMAN, Jost",75,"<strong>AMMAN, Jost,</strong> &scaron;vicarski crtač i bakrorezac (Z&uuml;rich, VI. 1539 &mdash; N&uuml;rnberg, 17. III. 1591). Živi u N&uuml;rnbergu, gdje crta predlo&scaron;ke za drvoreze i radi bakroreze. Ilustrator<em> Biblije,</em> stihova Hansa Sachsa i djela o običajima i no&scaron;njama. Njegove ilustracije nemaju toliko umjetničku koliko dokumentarnu vrijednost kao svjedočanstva o njem. građ.-feudalnoj sredini XVI<em> st.</em>",,1
"AMMANATI, Bartolomeo",75,"<strong>AMMANATI, Bartolomeo,</strong> talijanski kipar i graditelj (Settignano, 18. VI. 1511 &mdash; Firenca, 22. IV. 1592). Djelovanje ovoga majstora pripada razdoblju visoke renesanse, a obilježeno je utjecajima J. Sansovina, kojemu je bio suradnik kod izvođenja plastičnih radova na Knjižnici sv. Marka u Veneciji, i Michelangela, čija je djela studirao u Firenci. Kao kipar radi u Pisi, Napulju, Urbinu, Padovi i Rimu (sakralna plastika, nadgrobni spomenici); glavno mu je djelo velika<em> Neptunova fontana</em> na Piazzi della Signoria u Firenci. Dok u skulpturi upada u maniru &raquo;gigantizma&laquo; nastojeći se izraziti na način Michelangela, postigao je značajnije rezultate kao graditelj. Njegove su građevine, u većini palače, obilježene monumentalnom jednostavno&scaron;ću, koju nagla&scaron;ava primjenom rustike i otklanjanjem ornamentalnih detalja, no njihova masivnost nema elegancije quattrocentističkih realizacija. Kasna Ammanatieva diela ukazuju već na pojavljivanje baroka. U svom <em>Trattato di Architettura</em> koncipirao je plan idealnoga grada budućnosti.<br /> DJELA (arhitektonska). Rim: Pal. Ruspoli (1556); pročelje i kolonade u dvori&scaron;tu Collegia Romana. Firenca: Most S. Trinit&aacute; (1567&mdash;70); nastavak gradnje Pal. Pitti (1558&mdash;70); klaustri crkava S. Spirito (1564) i S. Giovanni degli Scolopi (1579); palače Guigni, Montalvi, Pucci i dr. Lucca: Pal. ducale i druge palače. Volterra: klaustar Badije.",,1
AMON,75,"<strong>AMON (Amun),</strong> vrhovno božanstvo u starom Egiptu, čiji kult potječe iz Teba. U &larr; II tisućljeću postaje istovetan s božanstvom sunca R&ecirc; (R&acirc;), te se naziva<em> Amon-R&acirc;.</em> Njegovo je glav. sveti&scaron;te bio hram u Karnaku. U likovnim umjetnostima prikazuje se u liku čovjeka, kojega je pűt modro obojena. Na glavi ima visoku kapu s diskom kao simbolom sunca, a često i rogove ovna. U jednoj ruci drži božansko žezlo, a u drugoj hijeroglifski znak za &raquo;život&laquo;. Grci su ga nazivali<em> Zeus-Amon,</em> a Rimljani<em> Jupiter-Amon.</em>",,1
AMOR,75,<strong>AMOR</strong> v.<em> Eros</em>,,1
AMORBACH,75,"<strong>AMORBACH,</strong> grad u sjeverozap. Bavarskoj, Savezna Republika Njemačka. Nekada&scaron;nja benediktinska opatija. Romanička crkva (sada protestantska) s poznatim orguljama; 1742&mdash;47 preuređena prema nacrtima Maximiliana iz Welscha u bogatom rokoko-stilu. Zgrade biv&scaron;e opatije postaju od 1803 sjedi&scaron;te knezova od Leiningena. Katolička župna crkva iz 1752. &mdash; Nedaleko od grada je kneževska ljetna rezidencija<em> Waldleiningen,</em> a južno ru&scaron;evine grada<em> Wildenburga.</em>",,1
AMORET,75,"<strong>AMORET</strong> (tal.<em> amoretto</em>), riječ se obično upotrebljava u pluralu:<em> amoreti;</em> sinonimi:<em> eroti putti</em> (tal.). U kiparstvu i slikarstvu, amoreti su likovi gole djece, krilati ili bez krila. U antičko doba geniji, koji su se u kr&scaron;ćanskoj ikonografiji pretvorili u anđele. U likovnim umjetnostima počev&scaron;i od renesanse čest su motiv ili &scaron;tafaža na kompozicijama s mitolo&scaron;kim temama. U doba baroka i rokokoa pojavljuju se i u različitim dekorativnim, alegorijskim i heraldičkim varijacijama.",,1
AMORFAN,75,"<strong>AMORFAN</strong> (grč. ἀ a <em>bez</em> i &mu;&omicron;&rho;&phi;ή morfe oblik), bezobličan, neoblikovan.",,1
"AMOSOV, Sergej Sergejevič",75,"<strong>AMOSOV, Sergej Sergejevič,</strong> ruski slikar (?, 24. V. 1837 &mdash; Moskva, 3. XI. 1886). Učenik moskovske Umjetničke &scaron;kole, pejzažist, prikazivao motive iz rus. sela.",,1
AMPIR,75,<strong>AMPIR</strong> v.<em> Empire</em>,,1
AMPULA,75,"<strong>AMPULA</strong> (lat.<em> ampulla</em>), trbu&scaron;asta bočica uska vrata od stakla, gline ili kovine, koja je u ant. doba služila za ulje, &scaron;to se upotrebljavalo u higijenske i kozmetičke svrhe. U kr&scaron;ćanskoj liturgijskoj terminologiji ampulama se nazivaju posudice za vino, vodu i ulje, koje služe kod crkv. obreda.",,1
AMRITH,75,"<strong>AMRITH,</strong> mjesto na sirijskoj obali, u feničko doba grad <em>Marath.</em> God. 1860 iskopao je J.-E. Renan u Amrithu ostatke hramova kasnofeničkog doba, na kojima se zapažaju egip. utjecaji, grobne spomenike u obliku valjka i piramide, sarkofage s reljefnim prikazom ljudskih i životinjskih likova, te velik stadion i amfiteatar.",,1
